Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPPerGame,PTSPerGame,TRBPerGame,ASTPerGame,STLPerGame,BLKPerGame,year
Jimmy Butler,33,5,205,38,92,7,19,25,31,9,14,23,32,4,3,6,6,108,.413,.368,.806,41.0,21.6,4.6,6.4,0.8,0.6,2023
Gabe Vincent,26,5,142,21,55,10,30,5,6,1,1,2,12,5,1,4,13,57,.382,.333,.833,28.4,11.4,0.4,2.4,1.0,0.2,2023
Kyle Lowry,36,5,146,17,40,11,26,9,9,3,17,20,24,5,1,9,14,54,.425,.423,1.000,29.2,10.8,4.0,4.8,1.0,0.2,2023
Duncan Robinson,28,5,94,15,30,9,21,0,1,0,6,6,8,1,2,4,11,39,.500,.429,.000,18.8,7.8,1.2,1.6,0.2,0.4,2023
Caleb Martin,27,5,142,15,40,5,15,2,2,6,16,22,6,5,3,6,15,37,.375,.333,1.000,28.4,7.4,4.4,1.2,1.0,0.6,2023
Max Strus,26,5,125,10,43,6,32,3,4,4,20,24,15,1,3,1,10,29,.233,.188,.750,25.0,5.8,4.8,3.0,0.2,0.6,2023
Kevin Love,34,4,71,9,24,8,20,1,1,3,15,18,1,3,2,0,5,27,.375,.400,1.000,17.8,6.8,4.5,0.3,0.8,0.5,2023
Haywood Highsmith,26,5,35,7,10,2,4,2,2,2,2,4,0,2,1,1,6,18,.700,.500,1.000,7.0,3.6,0.8,0.0,0.4,0.2,2023
Cody Zeller,30,5,27,2,4,0,0,0,0,2,3,5,1,0,1,2,6,4,.500,,,5.4,0.8,1.0,0.2,0.0,0.2,2023
Udonis Haslem,42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,0.0,0.0,0.0,0.0,0.0,0.0,2023
Nikola Jović,19,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,1.0,0.0,0.5,0.0,0.0,0.0,2023
Omer Yurtseven,24,2,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,.000,.000,,1.0,0.0,0.5,0.0,0.0,0.0,2023
Team Totals,,5,1200,179,440,58,169,66,77,48,140,188,115,28,21,45,99,482,.407,.343,.857,240.0,96.4,37.6,23.0,5.6,4.2,2023
Jamal Murray,25,5,211,41,91,12,31,13,14,5,26,31,50,5,0,17,9,107,.451,.387,.929,42.2,21.4,6.2,10.0,1.0,0.0,2023
Aaron Gordon,27,5,178,29,48,5,9,7,15,9,28,37,15,4,3,3,14,70,.604,.556,.467,35.6,14.0,7.4,3.0,0.8,0.6,2023
Bruce Brown,26,5,134,21,46,7,19,8,11,5,17,22,5,5,4,8,7,57,.457,.368,.727,26.8,11.4,4.4,1.0,1.0,0.8,2023
Michael Porter Jr.,24,5,147,19,58,4,28,6,8,7,35,42,4,0,2,2,6,48,.328,.143,.750,29.4,9.6,8.4,0.8,0.0,0.4,2023
Kentavious Caldwell-Pope,29,5,171,11,31,5,19,10,13,4,13,17,7,7,6,4,13,37,.355,.263,.769,34.2,7.4,3.4,1.4,1.4,1.2,2023
Christian Braun,21,5,82,12,17,0,1,5,9,4,6,10,6,5,2,3,6,29,.706,.000,.556,16.4,5.8,2.0,1.2,1.0,0.4,2023
Jeff Green,36,5,65,8,9,2,2,6,6,1,1,2,3,1,0,2,6,24,.889,1.000,1.000,13.0,4.8,0.4,0.6,0.2,0.0,2023
Thomas Bryant,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2023
Vlatko Čančar,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2023
